PPG PulseOx1, RIPResp1, Heart Rate PulseOx1, Temperature Sensor 1, RIPResp2, SpO2 PulseOx1, Pulse d(Trace)/dt, Pulse d2(Trace)/dt2, Pulse Rate (BPM), d(Pulse Rate)/dt (BPMPM), Pulse Interval (ms), Pulse RMSSD (ms), Pulse SDNN (BPM), Pulse P50 (%), Smoothed RIP Resp1, Smoothed RIP Resp2, Breathing Rate (BPM), d(Breathing Rate)/dt (BPMPM), Interval (s), Inspiration (%), d(Inspiration)/dt (%PM), Breathing RMSSD (s), Breathing SDNN (BPM)
81.2195,-0.013083614,61,23.966816,-0.00726939,98,-0.26856232,-0.017105103,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.0160897,-0.010178702,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.990005,-0.016132124,61,23.989363,-0.010366939,98,-0.22949219,0.0390625,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016048184,-0.010149488,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.990005,-0.019205041,61,24.011908,-0.01332318,98,-0.22949219,0.0390625,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.016014665,-0.010128451,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.990005,-0.01778584,61,23.92172,-0.011817411,98,-0.22949219,0.0390625,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.01599048,-0.010116676,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.833755,-0.013643771,61,23.989363,-0.0077638105,98,-0.15625,0.07324219,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.01597008,-0.010108146,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.833755,-0.012915373,61,23.989363,-0.0071610287,98,-0.15625,0.07324219,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.01593643,-0.010086474,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.833755,-0.015912406,61,23.966816,-0.010210991,98,-0.15625,0.07324219,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.015892487,-0.010055284,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.7776,-0.019029535,61,24.03445,-0.013212539,98,-0.056152344,0.100097656,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.015857385,-0.010033156,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.7776,-0.017659195,61,23.966816,-0.011755228,98,-0.056152344,0.100097656,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.015832057,-0.01002072,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.7776,-0.013531454,61,23.92172,-0.0077141672,98,-0.056152344,0.100097656,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.015809594,-0.010010791,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
80.831314,-0.012733474,61,24.03445,-0.007044375,98,0.053710938,0.10986328,59.8762,-8.069117,1031.6881,38.901867,2.5971458,11.111112,-0.015773213,-0.00998746,19.907816,11.835841,1.3825672,42.24669,2.4562635,1.4293472,11.926187
